DA_DGUID,DA_ID,Municipality,CSD_DGUID,Census_Year,Municipality_Population_2021,Municipality_Population_2016,Municipality_Pop_Growth_Pct,TNR_SF_Pct,TNR_LF_Pct,Data_Quality_Flag,Population,Population_Density_Reported,Land_Area_km2,Age_15_19,Age_20_24,Age_25_29,Age_30_34,Occupied_Dwellings,Apartment_Duplex,Apartment_Under_5_Storeys,Apartment_5Plus_Storeys,Income_Household_Base_100Pct,Median_Household_Income,Income_Household_Base_25Pct,Average_Household_Income,Tenure_Household_Base,Renter_Households,Population_15Plus_Labour_Status,Labour_Force,Employed,Unemployed,Participation_Rate_Reported,Employment_Rate_Reported,Unemployment_Rate_Reported,Flag_1,Flag_6,Flag_7,Flag_14,Flag_15,Flag_16,Flag_17,Flag_41,Flag_45,Flag_46,Flag_47,Flag_228,Flag_229,Flag_237,Flag_238,Flag_1400,Flag_1402,Flag_2223,Flag_2224,Flag_2225,Flag_2226,Flag_2228,Flag_2229,Flag_2230
2021S051235100029,35100029,Kingston,2021A00053510010,2021,132485,123798,7,1.3,0,00000,355,256.8,1.38,20,25,35,20,150,20,5,0,150,78000,160,94000,160,25,335,205,175,30,61.2,52.2,14.6,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100030,35100030,Kingston,2021A00053510010,2021,132485,123798,7,2.7,4.3,00000,428,858.6,0.5,20,25,30,45,185,35,5,0,185,73000,170,64500,170,40,285,150,140,0,52.6,49.1,0,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100031,35100031,Kingston,2021A00053510010,2021,132485,123798,7,2.6,0,00000,377,1685.3,0.22,25,15,35,30,155,15,15,0,155,71000,160,86000,160,30,325,225,195,30,69.2,60,13.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100032,35100032,Kingston,2021A00053510010,2021,132485,123798,7,0.6,4.8,00000,403,3208.6,0.13,20,25,30,30,175,5,0,0,175,81000,170,80000,170,10,295,150,130,20,50.8,44.1,13.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100033,35100033,Kingston,2021A00053510010,2021,132485,123798,7,2.2,0,00000,437,3398.1,0.13,10,25,30,40,180,10,0,0,180,75500,185,87000,185,40,350,235,220,20,67.1,62.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100035,35100035,Kingston,2021A00053510010,2021,132485,123798,7,0.9,1.9,00000,517,9866.4,0.05,35,50,50,35,220,0,110,60,220,43200,225,48400,225,210,380,205,165,40,53.9,43.4,19.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100036,35100036,Kingston,2021A00053510010,2021,132485,123798,7,4.1,6.4,00000,825,3023.1,0.27,55,55,75,70,365,0,5,250,365,48000,370,60200,370,330,705,340,250,90,48.2,35.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100040,35100040,Kingston,2021A00053510010,2021,132485,123798,7,0.5,0,00000,471,4978.9,0.09,25,30,45,35,185,30,50,0,185,47600,205,52800,205,165,395,150,90,60,38,22.8,40,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100041,35100041,Kingston,2021A00053510010,2021,132485,123798,7,1.8,3.6,00000,903,811.2,1.11,50,50,95,105,445,30,25,210,450,61200,435,69600,440,330,765,420,350,65,54.9,45.8,15.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100042,35100042,Kingston,2021A00053510010,2021,132485,123798,7,2.7,2.8,00000,619,1631.1,0.38,40,30,45,30,290,5,60,205,295,52400,290,57600,290,270,510,240,215,30,47.1,42.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100044,35100044,Kingston,2021A00053510010,2021,132485,123798,7,2,3.1,00000,747,2051.1,0.36,15,50,60,65,395,10,190,5,395,51600,415,60200,420,270,715,335,280,55,46.9,39.2,16.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100045,35100045,Kingston,2021A00053510010,2021,132485,123798,7,3.9,0,00000,316,1434.4,0.22,10,20,30,30,125,10,0,0,130,83000,125,77000,125,15,245,180,155,20,73.5,63.3,11.1,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100046,35100046,Kingston,2021A00053510010,2021,132485,123798,7,2.6,8,00000,423,2363.1,0.18,15,20,35,50,190,30,0,0,185,83000,190,91000,190,50,370,230,210,15,62.2,56.8,6.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100047,35100047,Kingston,2021A00053510010,2021,132485,123798,7,1.8,4.2,00000,601,2813.7,0.21,35,45,55,60,270,20,100,50,270,50000,295,71500,300,225,575,320,275,45,55.7,47.8,14.1,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100048,35100048,Kingston,2021A00053510010,2021,132485,123798,7,3,7.3,00000,449,2917.5,0.15,15,30,20,50,235,35,25,0,235,66000,215,70000,215,65,365,230,200,35,63,54.8,15.2,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100049,35100049,Kingston,2021A00053510010,2021,132485,123798,7,5.9,12.7,00010,608,2799.3,0.22,25,35,65,55,290,55,50,0,285,54800,250,60800,250,120,435,280,215,70,64.4,49.4,25,,,,,,,,,,,,,,,,,,,,,,,,
