Analysis_ID,Province,Census_Division,Municipality_ID,Municipality_Name,Market_Zone_ID,Market_Zone_Name,Zone_Type,Is_Official_Zone,Candidate_ID,Candidate_Name,Candidate_Address,Latitude,Longitude,Radius_km,Population,Previous_Population,Population_Growth_Pct,Land_Area_km2,Population_Density,Population_20_34,Age_20_34_Pct,Population_18_34_Estimated,Age_18_34_Pct,Target_Age_Population,Target_Age_Pct,Private_Households,Renter_Households,Renter_Pct,Apartment_Dwellings,Apartment_Pct,Average_Household_Income,Estimated_Median_Income,Labour_Force_Population,Employed_Population,Unemployed_Population,Employment_Rate,Unemployment_Rate,Transit_Stops,Transit_Commuters,Transit_Commuter_Pct,Walking_Commuters,Nearest_College_km,Nearest_University_km,Education_Facilities_Count,Parking_Available,Parking_Spaces,Road_Visibility_Rating,Accessibility_Rating,Total_Gym_Count,Budget_Gym_Count,Midmarket_Gym_Count,Premium_Gym_Count,Boutique_Gym_Count,Independent_Gym_Count,Chain_Gym_Count,Gyms_Per_10k,Budget_Gyms_Per_10k,Population_Per_Gym,Target_Population_Per_Gym,Target_Population_Per_Budget_Gym,No_Budget_Gym_Flag,Nearest_Gym_km,Nearest_Budget_Gym_km,Gyms_With_Verified_Prices,Price_Completeness_Pct,Minimum_Monthly_Fee,Average_Monthly_Fee,Median_Monthly_Fee,Maximum_Monthly_Fee,Average_Joining_Fee,No_Contract_Gym_Count,Free_Trial_Gym_Count,Open_24_7_Count,Personal_Training_Count,Group_Classes_Count,Cardio_Equipment_Count,Free_Weights_Count,Showers_Count,Locker_Count,Parking_Count,Pool_Count,Sauna_Count,Childcare_Count,Women_Only_Area_Count,Accessible_Gym_Count,Average_Service_Count,No_24_7_Gym_Flag,No_Childcare_Gym_Flag,No_Pool_Gym_Flag,No_Women_Only_Gym_Flag,Missing_Service_Count,Service_Gap_Score,Commercial_Space_Available,Floor_Area_sqft,Monthly_Rent,Annual_Rent_Per_sqft,Zoning_Compatible,Parking_Requirement_Met,Property_Condition_Rating,Property_Cost_Score,Property_Suitability_Score,Demand_Score,Growth_Score,Affordability_Fit_Score,Accessibility_Score,Competition_Gap_Score,Property_Score,Opportunity_Score,Municipality_Rank,Market_Zone_Rank,Candidate_Rank,Recommendation_Category,Census_Year,Gym_Data_Date,Property_Data_Date,Census_Completeness_Pct,Gym_Location_Completeness_Pct,Price_Completeness_Pct_Quality,Service_Completeness_Pct,Data_Quality_Score,Missing_Required_Fields,Primary_Census_Source_ID,Boundary_Source_ID,Analysis_Status,Last_Refresh_Date,Limitations
KIT-WEST-KITCHEN-3KM,Ontario,,M0006,Kitchener,KIT-WEST-KITCHEN,West Kitchener,Higher-Income Suburban Market,0,KIT-WEST-KITCHEN-C,West Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.418663,-80.519102,3,58557,,0.10099999999999999,14.21,2859.8,8631,0.2123278572377452,9669,0.2378632894950479,13929,0.2378707925610943,14157,3852,0.2718611052297269,2139,0.15109133290951474,110132,100726,22065,19572,2445,0.601956080457649,0.11080897348742352,,,,,,,,,,,,1,0,,1,0,0,1,0.17,0,58557,13929,,1,2.1,3.38,,,,,,,,,,0,1,1,1,1,,,,0,0,,0,,2,1,,1,1,3,100,,,,,,,,,,55.5,62.2,60.9,,100,,71.7,1,1,1,Shortlist,2021,2026-07-27,,1,0.65,0,0.75,74,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
HAM-CENTRAL-HAMI-1KM,Ontario,,M0004,Hamilton,HAM-CENTRAL-HAMI,Central Hamilton,Value-Oriented Rental Market,0,HAM-CENTRAL-HAMI-C,Central Hamilton centroid candidate,Approximate market-zone centroid; no property address collected,43.249096,-79.846627,1,33004,,0.06,12.03,2743.1,8522,0.2582079965095563,9093,0.2755147798475355,9093,0.2755120591443461,15081,7903,0.524002121734518,7454,0.49426430608049865,79771,67965,17069,14717,2366,0.530992928272478,0.13861386138613863,,,,,,,,,,,,1,0,,0,0,1,0,0.3,0,33004,9093,,1,0.3,1.87,,,,,,,,,,0,0,0,1,1,,,,0,0,,0,,0,1,,1,1,3,100,,,,,,,,,,74.3,34.5,16.4,,55.5,,60,1,1,2,Further investigation,2021,2026-07-27,,1,0.45,0,0.75,67,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIT-SOUTH-KITCHE-3KM,Ontario,,M0006,Kitchener,KIT-SOUTH-KITCHE,South Kitchener,Higher-Income Suburban Market,0,KIT-SOUTH-KITCHE-C,South Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.389653,-80.455306,3,34866,,0.10099999999999999,28.18,1022,6615,0.22968271494343867,7365,0.25572383908668567,8916,0.25572190672861816,9582,2409,0.2528337531486146,1389,0.14495929868503443,127335,111861,15996,14436,1563,0.6385350318471338,0.0977119279819955,,,,,,,,,,,,1,0,,1,1,0,1,0.29,0,34866,8916,,1,2,3.25,,,,,,,,,,0,1,1,1,1,,,,0,0,,0,,2,1,,1,1,3,100,,,,,,,,,,45.5,62.2,76.1,,58.7,,59.4,2,1,3,Further investigation,2021,2026-07-27,,1,0.65,0,0.75,74,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
LON-NORTH-LONDON-3KM,Ontario,,M0007,London,LON-NORTH-LONDON,North London,Higher-Income Suburban Market,0,LON-NORTH-LONDON-C,North London centroid candidate,Approximate market-zone centroid; no property address collected,43.030798,-81.259027,3,68000,,0.1,31.65,1382.8,9045,0.20667105371390967,10219,0.23348687998683887,15877,0.23348529411764707,16197,5658,0.34925925925925927,4194,0.2589368401555844,115405,96264,21741,19170,2550,0.5490162385084629,0.1172899130674762,,,,,,,,,,,,2,0,,1,0,1,1,0.29,0,34000,7939,,1,1.25,3.84,,,,,,,,,,0,1,1,2,2,,,,0,0,,0,,1,1,,1,1,3,100,,,,,,,,,,52.5,61.5,54.9,,57.2,,59.3,1,1,4,Further investigation,2021,2026-07-27,,1,0.55,0,0.75,70.5,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
OSH-NORTH-OSHAWA-3KM,Ontario,,M0008,Oshawa,OSH-NORTH-OSHAWA,North Oshawa,Higher-Income Suburban Market,0,OSH-NORTH-OSHAWA-C,North Oshawa centroid candidate,Approximate market-zone centroid; no property address collected,43.936827,-78.85502,3,57852,,0.1,19.12,1824.6,6393,0.18328975435216405,7333,0.2102284456065506,12162,0.21022609417133375,12141,3837,0.3155687145324451,2397,0.19743019520632568,114339,102632,17394,14811,2580,0.5244316974718505,0.14832700931355638,,,,,,,,,,,,2,0,,2,1,0,2,0.35,0,28926,6081,,1,0.4,6.02,,,,,,,,,,0,2,2,2,2,,,,0,0,,0,,2,1,,1,1,3,100,,,,,,,,,,49.6,61.5,63.5,,48.4,,57,1,1,5,Further investigation,2021,2026-07-27,,1,0.65,0,0.75,74,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIT-NORTHWEST-KI-3KM,Ontario,,M0006,Kitchener,KIT-NORTHWEST-KI,Northwest Kitchener,Dense Urban Market,0,KIT-NORTHWEST-KI-C,Northwest Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.445301,-80.502588,3,57032,,0.10099999999999999,9.43,3628,9780,0.2858044606536681,10330,0.3018656193014448,17216,0.3018656193014448,16167,9975,0.6175705794947994,9747,0.6028947856745221,83663,69318,18936,16680,2259,0.5771226904712476,0.11929657794676807,,,,,,,,,,,,7,0,,6,6,6,1,1.23,0,8147,2459,,1,0.76,3.46,,,,,,,,,,0,6,6,7,7,,,,0,0,,0,,1.71,1,,1,1,3,100,,,,,,,,,,84.8,62.2,18.2,,12.2,,55.8,3,1,6,Further investigation,2021,2026-07-27,,1,0.48,0,0.75,68,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
WAT-SOUTHWEST-WA-1KM,Ontario,,M0011,Waterloo,WAT-SOUTHWEST-WA,Southwest Waterloo,Higher-Income Suburban Market,0,WAT-SOUTHWEST-WA-C,Southwest Waterloo centroid candidate,Approximate market-zone centroid; no property address collected,43.453532,-80.560197,1,9396,,0.157,2.73,2322.3,1333,0.21010655065884876,1506,0.23734316877876552,2230,0.2373350361856109,2306,617,0.2636752136752137,374,0.16218560277536861,137907,115378,3365,2982,377,0.5688668447157573,0.11203566121842497,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,1.43,4.2,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,49.9,100,80.8,,14.3,,54.1,1,1,7,Further investigation,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIT-NORTHWEST-KI-1KM,Ontario,,M0006,Kitchener,KIT-NORTHWEST-KI,Northwest Kitchener,Dense Urban Market,0,KIT-NORTHWEST-KI-C,Northwest Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.445301,-80.502588,1,12396,,0.10099999999999999,3.14,3628,3260,0.2858044606536681,3443,0.3018656193014448,3742,0.30187157147466925,5389,3325,0.6175705794947994,3249,0.6028947856745221,83663,69318,6312,5560,753,0.5771226904712476,0.11929657794676807,,,,,,,,,,,,3,0,,2,2,2,1,2.42,0,4132,1247,,1,0.76,3.46,,,,,,,,,,0,2,2,3,3,,,,0,0,,0,,1.33,1,,1,1,3,100,,,,,,,,,,84.8,62.2,18.2,,5.2,,54,4,2,8,Further investigation,2021,2026-07-27,,1,0.52,0,0.75,69.3,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
WAT-NORTHEAST-WA-3KM,Ontario,,M0011,Waterloo,WAT-NORTHEAST-WA,Northeast Waterloo,Higher-Income Suburban Market,0,WAT-NORTHEAST-WA-C,Northeast Waterloo centroid candidate,Approximate market-zone centroid; no property address collected,43.501707,-80.50436,3,24467,,0.157,10.97,1338.7,2736,0.18633540372670807,3161,0.21526642693690748,5267,0.2152695467364205,5367,1191,0.22031076581576026,876,0.16321967579653437,153511,123386,8514,7659,858,0.6265030674846626,0.10077519379844961,,,,,,,,,,,,2,0,,2,1,1,1,0.82,0,12234,2634,,1,2.62,3.2,,,,,,,,,,0,2,2,2,2,,,,0,0,,0,,2,1,,1,1,3,100,,,,,,,,,,42.3,100,91.7,,19.3,,53.8,2,1,9,Further investigation,2021,2026-07-27,,1,0.55,0,0.75,70.5,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
THU-NORTHEAST-TH-3KM,Ontario,,M0010,Thunder Bay,THU-NORTHEAST-TH,Northeast Thunder Bay,Lower-Density Residential Market,0,THU-NORTHEAST-TH-C,Northeast Thunder Bay centroid candidate,Approximate market-zone centroid; no property address collected,48.447982,-89.239197,3,41501,,0.009000000000000001,63.61,511.9,6765,0.2077766516170644,7438,0.2284529623145674,9481,0.22845232644996505,14640,5013,0.34290991175867025,4230,0.2889344262295082,94745,82815,16125,14316,1770,0.5217581456374372,0.10976744186046511,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,4.93,4.93,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,50,0,36.6,,70.3,,53.7,1,1,10,Further investigation,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
