Municipality,Market Zone,Gym Name,Brand,Price Tier,Monthly Fee CAD,Rating,Reviews,Training,Address
Waterloo,East Waterloo,Crunch Fitness,Crunch Fitness,Budget/Mid,15.99,4.0,1243,Yes,"Crunch Fitness, 560, Parkside Drive, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2L 5Z4, Canada"
Waterloo,East Waterloo,GoodLife Fitness,GoodLife Fitness,Mid/Premium,35.0,4.3,840,Yes,"GoodLife Fitness, 270, Weber Street North, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2J 3H6, Canada"
Waterloo,East Waterloo,Anytime Fitness,Anytime Fitness,Budget/Mid,,4.5,756,Yes,"Anytime Fitness, 75, Weber Street North, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2J 3G0, Canada"
Waterloo,East Waterloo,Shamuon Generation of Martial Arts,Local / Independent,Premium/Specialty,,4.9,62,Likely,"Shamuon Generation of Martial Arts, 550, Parkside Drive, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2L 5V4, Canada"
Waterloo,East Waterloo,Hauser Fitness Centre,Local / Independent,Unknown,,4.6,41,Unknown,"Hauser Fitness Centre, 101, Father David Bauer Drive, Uptown, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2L 0B4, Canada"
Waterloo,East Waterloo,Foundation Fitness,Local / Independent,Unknown,,5.0,5,Unknown,"Foundation Fitness, 496, Albert Street, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2L 3V4, Canada"
Waterloo,East Waterloo,St. Louis Gym,Local / Independent,Unknown,,5.0,2,Unknown,"St. Louis Gym, 77, Willow Street, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2J 1J3, Canada"
Kitchener,Northwest Kitchener,F45 Training,F45 Training,Premium,,4.8,97,Likely,"F45 Training, 137, Iron Horse Trail, Cherry Hill, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2G 4X8, Canada"
Kitchener,Northwest Kitchener,Midtown Yoga KW,Local / Independent,Premium/Specialty,,4.9,289,Likely,"Midtown Yoga KW, 663, Belmont Avenue West, Belmont Village, Westmount, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2M 1N8, Canada"
Kitchener,Northwest Kitchener,ZM Cycle and Fitness,Local / Independent,Unknown,,4.2,90,Unknown,"ZM Cycle and Fitness, 131, Strange Street, Cherry Hill, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2G 1R4, Canada"
Kitchener,Northwest Kitchener,Volpe Martial Arts,Local / Independent,Premium/Specialty,,5.0,53,Likely,"Volpe Martial Arts, Gage Avenue, Victoria Hills, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2M 5C6, Canada"
Kitchener,Northwest Kitchener,Personal Edge Training,Local / Independent,Premium/Specialty,,4.9,47,Likely,"Personal Edge Training, 417, King Street West, Downtown, City Commercial Core, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2G 1C2, Canada"
Kitchener,Northwest Kitchener,Classical Martial Arts Centre,Local / Independent,Premium/Specialty,,5.0,27,Likely,"Classical Martial Arts Centre, 300, Gage Avenue, Victoria Hills, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2M 5C6, Canada"
